id,name,price,reason
553648562449071453,Double bedroom with Ensuite Bathroom,,price missing or <= 0
553648629153112166,Single Bedroom with Ensuite Bathroom,,price missing or <= 0
553648748738864945,Single bedroom; external Private Bathroom.,,price missing or <= 0
1350610720787890560,Grande Studio w/ kitchenette at Roomzzz,,price missing or <= 0
1350610720950598524,Stylish Studio w/ kitchenette at Roomzzz,,price missing or <= 0
1350611066733418146,Balcony Studio w/ kitchenette at Roomzzz,,price missing or <= 0
1405664167162634829,City view studio by Fraser Suites,,price missing or <= 0
1405664167859988048,Gorgeous double by Fraser Suites,,price missing or <= 0
1405664240974354672,City view double by Fraser Suites,,price missing or <= 0
1405664319798816603,Homely studio by Fraser Suites,,price missing or <= 0
1405664399047980275,Comfy twin by Fraser Suites,,price missing or <= 0
